audio,duration
SSB16700055,0:00:09.000998
SSB06290053,0:00:09
SSB13770222,0:00:09
SSB19390009,0:00:08.994014
SSB10240110,0:00:08.980227
SSB06710230,0:00:08.977778
SSB12180111,0:00:08.968027
SSB00120050,0:00:08.960045
SSB17390127,0:00:08.959002
SSB01490361,0:00:08.959002
SSB02730327,0:00:08.958050
SSB14020425,0:00:08.945578
SSB01490186,0:00:08.944082
SSB05350170,0:00:08.939955
SSB07000237,0:00:08.934966
SSB15750009,0:00:08.916463
SSB05350226,0:00:08.910159
SSB00570316,0:00:08.908209
SSB16700059,0:00:08.903991
SSB05390219,0:00:08.900045
SSB16250249,0:00:08.880000
SSB13200149,0:00:08.876599
SSB13410115,0:00:08.875011
SSB16990392,0:00:08.875011
SSB01490351,0:00:08.874014
SSB16860431,0:00:08.872109
SSB01490415,0:00:08.871927
SSB07490439,0:00:08.870023
SSB01490281,0:00:08.862086
SSB11610195,0:00:08.844989
SSB06090165,0:00:08.836916
SSB00050278,0:00:08.836100
SSB12390129,0:00:08.818005
SSB00570006,0:00:08.812018
SSB11100003,0:00:08.810068
SSB14480472,0:00:08.804082
SSB03410052,0:00:08.803991
SSB13770435,0:00:08.797143
SSB19390349,0:00:08.790068
SSB18280397,0:00:08.790068
SSB03540472,0:00:08.786893
SSB02730412,0:00:08.777959
SSB15550104,0:00:08.775057
SSB00570215,0:00:08.764898
SSB10500018,0:00:08.762585
SSB01490289,0:00:08.759048
SSB01330205,0:00:08.752063
SSB13660131,0:00:08.735964
SSB07000309,0:00:08.733923
SSB03090192,0:00:08.732018
SSB12190418,0:00:08.729977
SSB02730090,0:00:08.725125
SSB03090455,0:00:08.721224
SSB00050222,0:00:08.718050
SSB00050099,0:00:08.713016
SSB07580409,0:00:08.709977
SSB11610198,0:00:08.705034
SSB06060262,0:00:08.699955
SSB07510217,0:00:08.698005
SSB03150325,0:00:08.697052
SSB00050360,0:00:08.693016
SSB03850400,0:00:08.690023
SSB19180422,0:00:08.690023
SSB19560355,0:00:08.687982
SSB11610129,0:00:08.678957
SSB03850353,0:00:08.675057
SSB00050077,0:00:08.674104
SSB19390245,0:00:08.669206
SSB13200327,0:00:08.668707
SSB05900338,0:00:08.660045
SSB00120360,0:00:08.659909
SSB02610348,0:00:08.659909
SSB01490023,0:00:08.657007
SSB07860352,0:00:08.653923
SSB00050074,0:00:08.653832
SSB02880244,0:00:08.653061
SSB13660264,0:00:08.646984
SSB11610029,0:00:08.643991
SSB13770201,0:00:08.640136
SSB12530143,0:00:08.639184
SSB00050399,0:00:08.638957
SSB01490373,0:00:08.637052
SSB11610337,0:00:08.636009
SSB16700190,0:00:08.632109
SSB05900196,0:00:08.630023
SSB12530389,0:00:08.617007
SSB03540343,0:00:08.610476
SSB11610459,0:00:08.609025
SSB19390239,0:00:08.605034
SSB06090289,0:00:08.598050
SSB06140363,0:00:08.592063
SSB13660029,0:00:08.590113
SSB02410393,0:00:08.583039
SSB16250016,0:00:08.579955
SSB16250001,0:00:08.579728
SSB11610244,0:00:08.574014
SSB12030070,0:00:08.573968
SSB11610441,0:00:08.573968
SSB16300398,0:00:08.573878
SSB19560291,0:00:08.570113
SSB13830476,0:00:08.563991
SSB07860080,0:00:08.559093
SSB18280287,0:00:08.558957
SSB06310226,0:00:08.555918
SSB06310355,0:00:08.555193
SSB19560145,0:00:08.552018
SSB00050156,0:00:08.552018
SSB01490426,0:00:08.551020
SSB06090429,0:00:08.548345
SSB06090371,0:00:08.547120
SSB12030026,0:00:08.546893
SSB00180393,0:00:08.544943
SSB11000261,0:00:08.542132
SSB01490452,0:00:08.541043
SSB06090135,0:00:08.540045
SSB00050262,0:00:08.532018
SSB16700075,0:00:08.529796
SSB13200488,0:00:08.528798
SSB16990032,0:00:08.526032
SSB00800107,0:00:08.525624
SSB16860053,0:00:08.522948
SSB00570224,0:00:08.515147
SSB12030398,0:00:08.513061
SSB00050285,0:00:08.512200
SSB00050441,0:00:08.512109
SSB19180382,0:00:08.510023
SSB00050337,0:00:08.509025
SSB06310403,0:00:08.507075
SSB03230044,0:00:08.506848
SSB02730371,0:00:08.501950
SSB19560474,0:00:08.500000
SSB00050435,0:00:08.500000
SSB15750277,0:00:08.498503
SSB01330152,0:00:08.494875
SSB05020310,0:00:08.493016
SSB12180360,0:00:08.490975
SSB19560368,0:00:08.490023
SSB18720280,0:00:08.490023
SSB06090323,0:00:08.485850
SSB00110114,0:00:08.479002
SSB16840396,0:00:08.477007
SSB05440264,0:00:08.472063
SSB11610274,0:00:08.469025
SSB07000290,0:00:08.468027
SSB03150248,0:00:08.468027
SSB16700098,0:00:08.465941
SSB12530054,0:00:08.460952
SSB11610034,0:00:08.460091
SSB05350432,0:00:08.460000
SSB15750297,0:00:08.452063
SSB11610378,0:00:08.451156
SSB00050150,0:00:08.450930
SSB12530011,0:00:08.449977
SSB16990278,0:00:08.448980
SSB13410141,0:00:08.439955
SSB02670051,0:00:08.437324
SSB01490172,0:00:08.437007
SSB01490102,0:00:08.437007
SSB18310205,0:00:08.435828
SSB00050095,0:00:08.435057
SSB12030001,0:00:08.434104
SSB01450006,0:00:08.431020
SSB19560452,0:00:08.427982
SSB04150193,0:00:08.427982
SSB05700211,0:00:08.427029
SSB02730358,0:00:08.427029
SSB02730222,0:00:08.426984
SSB06710342,0:00:08.426531
SSB11610450,0:00:08.424989
SSB16070077,0:00:08.420181
SSB18060156,0:00:08.420045
SSB09350218,0:00:08.410884
SSB06310240,0:00:08.407982
SSB01490147,0:00:08.404082
SSB19390156,0:00:08.400862
SSB18280209,0:00:08.400045
SSB06310320,0:00:08.398957
SSB13650411,0:00:08.396009
SSB01490294,0:00:08.394059
SSB04150424,0:00:08.394059
SSB16700173,0:00:08.392109
SSB13200020,0:00:08.391474
SSB05900091,0:00:08.390023
SSB11610019,0:00:08.390023
SSB02730365,0:00:08.384898
SSB07000300,0:00:08.383991
SSB06660265,0:00:08.381497
SSB16840461,0:00:08.376961
SSB16860257,0:00:08.376100
SSB11610281,0:00:08.372971
SSB00050377,0:00:08.369887
SSB06310127,0:00:08.369161
SSB16700050,0:00:08.369161
SSB07580116,0:00:08.367982
SSB18310007,0:00:08.364036
SSB19020403,0:00:08.359184
SSB02880342,0:00:08.358186
SSB18280340,0:00:08.357052
SSB02730264,0:00:08.352789
SSB01490465,0:00:08.351927
SSB13920471,0:00:08.349887
SSB19390273,0:00:08.344989
SSB16860171,0:00:08.343991
SSB06290041,0:00:08.340091
SSB02990261,0:00:08.339955
SSB06010073,0:00:08.330068
SSB06010124,0:00:08.330023
SSB00050275,0:00:08.329977
SSB12530398,0:00:08.325941
SSB07480149,0:00:08.321043
SSB11610259,0:00:08.320091
SSB02410383,0:00:08.320000
SSB03950039,0:00:08.319002
SSB13400268,0:00:08.318141
SSB03540212,0:00:08.315646
SSB03150112,0:00:08.310068
SSB11080057,0:00:08.305170
SSB03230258,0:00:08.302993
SSB07940337,0:00:08.300000
SSB14480195,0:00:08.299093
SSB07860414,0:00:08.298005
SSB07860111,0:00:08.295964
SSB03230422,0:00:08.295057
SSB19390365,0:00:08.292971
SSB13650325,0:00:08.284943
SSB09350026,0:00:08.284898
SSB19560032,0:00:08.281995
SSB03850386,0:00:08.275011
SSB18310430,0:00:08.271020
SSB00050007,0:00:08.269070
SSB18280330,0:00:08.268073
SSB03950441,0:00:08.268027
SSB01490210,0:00:08.265986
SSB19390402,0:00:08.264036
SSB13660418,0:00:08.263175
SSB04820284,0:00:08.262948
SSB06310043,0:00:08.260045
SSB01490087,0:00:08.260000
SSB10500255,0:00:08.259048
SSB01490241,0:00:08.258050
SSB03090167,0:00:08.255873
SSB06310352,0:00:08.250975
SSB06060293,0:00:08.250023
SSB07580216,0:00:08.249025
SSB02730129,0:00:08.247075
SSB03820051,0:00:08.246122
SSB03090358,0:00:08.244989
SSB11610386,0:00:08.241088
SSB00160163,0:00:08.240000
SSB03070154,0:00:08.235011
SSB07000356,0:00:08.223175
SSB07000181,0:00:08.222902
SSB13650262,0:00:08.221905
SSB18720261,0:00:08.220000
SSB07170151,0:00:08.219864
SSB04340137,0:00:08.219864
SSB19560030,0:00:08.215828
SSB02730142,0:00:08.214875
SSB10000443,0:00:08.214150
SSB00050246,0:00:08.208027
SSB06090010,0:00:08.207029
SSB06290020,0:00:08.207029
SSB13280267,0:00:08.203129
SSB00050426,0:00:08.202993
SSB00050057,0:00:08.197052
SSB13410413,0:00:08.193968
SSB10550482,0:00:08.191882
SSB03150378,0:00:08.190930
SSB19560298,0:00:08.190023
SSB18720011,0:00:08.189977
SSB02880322,0:00:08.183129
SSB02610339,0:00:08.180045
SSB14020119,0:00:08.180000
SSB02410319,0:00:08.179955
SSB05020444,0:00:08.178005
SSB00050334,0:00:08.178005
SSB18280218,0:00:08.177007
SSB16700132,0:00:08.177007
SSB19390162,0:00:08.175011
SSB06090336,0:00:08.166032
SSB06710315,0:00:08.164671
SSB07580476,0:00:08.161134
SSB11870206,0:00:08.158050
SSB16300273,0:00:08.156372
SSB11260217,0:00:08.151020
SSB02610275,0:00:08.150159
SSB05900371,0:00:08.150023
SSB11100075,0:00:08.149932
SSB04820038,0:00:08.148934
SSB07800272,0:00:08.146032
SSB01490411,0:00:08.145986
SSB07580427,0:00:08.145986
SSB06310440,0:00:08.143084
SSB06310394,0:00:08.142857
SSB01490198,0:00:08.140000
SSB05350199,0:00:08.139909
SSB03090330,0:00:08.137959
SSB03090007,0:00:08.136961
SSB01490256,0:00:08.133061
SSB16990357,0:00:08.131837
SSB16840312,0:00:08.131111
SSB05700350,0:00:08.127937
SSB15750403,0:00:08.126984
SSB03820182,0:00:08.126213
SSB12530322,0:00:08.125986
SSB06310038,0:00:08.123039
SSB07580256,0:00:08.122086
SSB06090140,0:00:08.120136
SSB02730051,0:00:08.118912
SSB16250101,0:00:08.116689
SSB04820072,0:00:08.115011
SSB13770336,0:00:08.115011
SSB17390136,0:00:08.112063
SSB00050200,0:00:08.103991
SSB12530339,0:00:08.103039
SSB16700402,0:00:08.103039
SSB01450085,0:00:08.101950
SSB00050325,0:00:08.096190
SSB10500276,0:00:08.094966
SSB17820116,0:00:08.090113
SSB07000337,0:00:08.088889
SSB17390171,0:00:08.088027
SSB00050162,0:00:08.087029
SSB07000454,0:00:08.085034
SSB06310460,0:00:08.083991
SSB01490227,0:00:08.082041
SSB13280374,0:00:08.079093
SSB01490301,0:00:08.078005
SSB00110280,0:00:08.074014
SSB07860045,0:00:08.072018
SSB03950057,0:00:08.068027
SSB15550381,0:00:08.067029
SSB03790171,0:00:08.066168
SSB02730468,0:00:08.066032
SSB01490037,0:00:08.065941
SSB05700370,0:00:08.062041
SSB03150349,0:00:08.061995
SSB14020336,0:00:08.061587
SSB06030123,0:00:08.060000
SSB10240074,0:00:08.058095
SSB00050469,0:00:08.056054
SSB02730372,0:00:08.056054
SSB17110015,0:00:08.055918
SSB02730361,0:00:08.055918
SSB01490436,0:00:08.053968
SSB13400134,0:00:08.053016
SSB19560099,0:00:08.052971
SSB11610218,0:00:08.049025
SSB07510163,0:00:08.048118
SSB01490079,0:00:08.048027
SSB10240026,0:00:08.047891
SSB16840315,0:00:08.047846
SSB19180362,0:00:08.042494
SSB02880073,0:00:08.039048
SSB07020398,0:00:08.034104
SSB06230138,0:00:08.034104
SSB05900076,0:00:08.030068
SSB06090471,0:00:08.026984
SSB08220237,0:00:08.025896
SSB14080399,0:00:08.025760
SSB00050223,0:00:08.025034
SSB00050210,0:00:08.024898
SSB11610287,0:00:08.022948
SSB16990141,0:00:08.022948
SSB01490437,0:00:08.020000
SSB07860033,0:00:08.019048
SSB01490068,0:00:08.016871
SSB07100494,0:00:08.013923
SSB13650154,0:00:08.012971
SSB12530060,0:00:08.012971
SSB07860113,0:00:08.010023
SSB03090457,0:00:08.007937
SSB13400228,0:00:08.005986
SSB00570448,0:00:08.005125
SSB06310483,0:00:08.004898
SSB03230257,0:00:08.004036
SSB13830029,0:00:08.003084
SSB07580034,0:00:08.001950
SSB19180454,0:00:08
SSB17110206,0:00:08
SSB16840292,0:00:08
SSB16860047,0:00:08
SSB03230161,0:00:08
SSB18310378,0:00:07.999048
SSB04150169,0:00:07.999048
SSB19560073,0:00:07.998776
SSB06310353,0:00:07.996100
SSB14480230,0:00:07.995147
SSB06310215,0:00:07.994875
SSB01490424,0:00:07.992063
SSB03950402,0:00:07.987937
SSB11310405,0:00:07.987664
SSB06320268,0:00:07.983175
SSB14480044,0:00:07.982902
SSB05350265,0:00:07.980000
SSB15550012,0:00:07.977052
SSB07860464,0:00:07.976100
SSB03820103,0:00:07.975238
SSB13410379,0:00:07.969977
SSB12030145,0:00:07.969977
SSB00570281,0:00:07.968980
SSB12530064,0:00:07.968027
SSB01490106,0:00:07.963039
SSB16860166,0:00:07.961905
SSB11610381,0:00:07.960952
SSB06090128,0:00:07.960000
SSB14520334,0:00:07.959955
SSB16300099,0:00:07.958503
SSB03820110,0:00:07.957778
SSB12180380,0:00:07.957052
SSB07580126,0:00:07.955102
SSB19560364,0:00:07.954875
SSB06060457,0:00:07.949977
SSB00050390,0:00:07.946032
SSB01490453,0:00:07.944127
SSB19560157,0:00:07.943855
SSB07170475,0:00:07.941224
SSB04340351,0:00:07.941224
SSB00180250,0:00:07.941224
SSB19180008,0:00:07.940045
SSB13200229,0:00:07.940000
SSB03540400,0:00:07.939955
SSB07940391,0:00:07.939955
SSB19560236,0:00:07.939955
SSB02730343,0:00:07.939093
SSB15550316,0:00:07.938005
SSB05940038,0:00:07.937007
SSB12530084,0:00:07.935057
SSB18280031,0:00:07.935011
SSB11610392,0:00:07.935011
SSB00050366,0:00:07.934104
SSB00800227,0:00:07.933379
SSB18370453,0:00:07.933107
SSB03090230,0:00:07.932154
SSB19560422,0:00:07.930930
SSB19390320,0:00:07.929932
SSB00800463,0:00:07.927029
SSB12530042,0:00:07.924082
SSB11080149,0:00:07.919955
SSB16840435,0:00:07.918957
SSB06140090,0:00:07.915918
SSB06070382,0:00:07.915782
SSB04150029,0:00:07.914830
SSB00120127,0:00:07.909977
SSB16860173,0:00:07.908073
SSB02410400,0:00:07.907982
SSB10080392,0:00:07.906984
SSB06310400,0:00:07.906984
SSB03850197,0:00:07.905034
SSB13400269,0:00:07.902086
SSB16700020,0:00:07.898912
SSB19560471,0:00:07.897959
SSB04150208,0:00:07.897959
SSB05020339,0:00:07.897007
SSB06710158,0:00:07.896508
SSB01490439,0:00:07.895011
SSB07170091,0:00:07.894785
SSB03230311,0:00:07.894059
SSB11000350,0:00:07.894014
SSB06090024,0:00:07.893016
SSB16990186,0:00:07.891973
SSB07580090,0:00:07.891020
SSB08170141,0:00:07.889433
SSB00570158,0:00:07.887029
SSB00570298,0:00:07.885986
SSB00800080,0:00:07.883175
SSB00050397,0:00:07.883084
SSB10500459,0:00:07.881542
SSB06090152,0:00:07.880998
SSB03410141,0:00:07.880045
SSB12530051,0:00:07.879048
SSB06310406,0:00:07.877234
SSB13410456,0:00:07.875964
SSB11610474,0:00:07.874014
SSB04150118,0:00:07.873061
SSB19390424,0:00:07.872789
SSB06090393,0:00:07.870839
SSB02410077,0:00:07.870113
SSB13650192,0:00:07.869887
SSB06090395,0:00:07.869161
SSB18280338,0:00:07.867075
SSB11350275,0:00:07.864036
SSB14520273,0:00:07.863039
SSB13400405,0:00:07.862993
SSB00570482,0:00:07.862041
SSB16500014,0:00:07.860000
SSB16250488,0:00:07.860000
SSB03230215,0:00:07.856961
SSB11610371,0:00:07.855964
SSB19560369,0:00:07.854966
SSB03950251,0:00:07.854014
SSB00050056,0:00:07.853016
SSB18320158,0:00:07.853016
SSB06140247,0:00:07.850839
SSB16500304,0:00:07.849025
SSB12180369,0:00:07.848163
SSB07580348,0:00:07.843991
SSB02730081,0:00:07.843039
SSB03540441,0:00:07.842585
SSB11610146,0:00:07.839002
SSB14480249,0:00:07.836961
SSB03090197,0:00:07.834966
SSB00050244,0:00:07.833016
SSB01490062,0:00:07.831973
SSB18370101,0:00:07.831066
SSB11610193,0:00:07.829977
SSB06060046,0:00:07.829841
SSB12530414,0:00:07.828027
SSB06290215,0:00:07.827891
SSB14480478,0:00:07.825941
SSB13400046,0:00:07.823039
SSB08710253,0:00:07.823039
SSB04150380,0:00:07.822993
SSB05990363,0:00:07.822041
SSB16860451,0:00:07.820952
SSB05900447,0:00:07.820045
SSB07800279,0:00:07.819048
SSB13650250,0:00:07.817868
SSB03850397,0:00:07.816054
SSB13400057,0:00:07.813016
SSB07000287,0:00:07.810975
SSB03420455,0:00:07.810068
SSB19390280,0:00:07.808844
SSB19560039,0:00:07.806893
SSB13850010,0:00:07.805306
SSB13650390,0:00:07.805170
SSB04150194,0:00:07.804943
SSB14480013,0:00:07.804036
SSB02410257,0:00:07.803946
SSB11260224,0:00:07.802993
SSB18370458,0:00:07.802993
SSB00050378,0:00:07.802268
SSB01490287,0:00:07.801995
SSB19560131,0:00:07.801995
SSB06310144,0:00:07.799093
SSB16070244,0:00:07.795782
SSB18630295,0:00:07.794921
SSB07800310,0:00:07.794195
SSB13770379,0:00:07.792018
SSB00570313,0:00:07.792018
SSB03090450,0:00:07.791973
SSB19180448,0:00:07.790023
SSB00120350,0:00:07.790023
SSB19390199,0:00:07.789796
SSB07580222,0:00:07.788027
SSB07000430,0:00:07.787846
SSB08870364,0:00:07.783991
SSB00050173,0:00:07.782948
SSB13660180,0:00:07.777098
SSB05020179,0:00:07.774059
SSB04820077,0:00:07.773016
SSB05340475,0:00:07.772562
SSB04150156,0:00:07.771973
SSB13400056,0:00:07.771020
SSB01490350,0:00:07.770023
SSB06310264,0:00:07.770023
SSB00800255,0:00:07.769887
SSB11610260,0:00:07.768073
SSB02870286,0:00:07.768073
SSB13280325,0:00:07.768073
SSB12530404,0:00:07.767937
SSB12030471,0:00:07.767846
SSB06310013,0:00:07.760000
SSB07940396,0:00:07.760000
SSB06660210,0:00:07.760000
SSB06290166,0:00:07.760000
SSB11610413,0:00:07.759048
SSB06310020,0:00:07.759048
SSB07860117,0:00:07.758912
SSB07860370,0:00:07.757959
SSB11260389,0:00:07.756961
SSB12530155,0:00:07.756825
SSB07510244,0:00:07.756009
SSB00570030,0:00:07.756009
SSB07170327,0:00:07.755465
SSB06090301,0:00:07.755147
SSB01490205,0:00:07.755011
SSB19560320,0:00:07.754150
SSB06140206,0:00:07.751111
SSB06290048,0:00:07.750023
SSB05020105,0:00:07.749025
SSB07000452,0:00:07.747937
SSB02730389,0:00:07.747075
SSB11100046,0:00:07.746485
SSB00570114,0:00:07.744172
SSB11610426,0:00:07.743175
SSB13660348,0:00:07.743039
SSB06310270,0:00:07.740000
SSB08220393,0:00:07.739048
SSB04700316,0:00:07.738594
SSB09350206,0:00:07.737098
SSB01490340,0:00:07.735964
SSB07940054,0:00:07.729977
SSB04820129,0:00:07.729977
SSB09350474,0:00:07.729025
SSB06290432,0:00:07.729025
SSB06660060,0:00:07.725488
SSB10500346,0:00:07.723129
SSB13650277,0:00:07.720952
SSB06310370,0:00:07.720952
SSB07510398,0:00:07.719002
SSB15550002,0:00:07.716916
SSB18310432,0:00:07.715102
SSB04150229,0:00:07.713016
SSB03850034,0:00:07.712063
SSB05350174,0:00:07.709977
SSB11610110,0:00:07.707029
SSB11610137,0:00:07.707029
SSB16700200,0:00:07.706077
SSB03820340,0:00:07.705578
SSB01490460,0:00:07.704127
SSB18280436,0:00:07.703855
SSB13400089,0:00:07.702993
SSB02410238,0:00:07.702041
SSB11260288,0:00:07.701905
SSB12530056,0:00:07.700181
SSB05390224,0:00:07.700091
SSB02610407,0:00:07.700000
SSB16700452,0:00:07.696054
SSB19390078,0:00:07.695057
SSB03230448,0:00:07.695057
SSB13920126,0:00:07.694830
SSB16860256,0:00:07.693016
SSB18310400,0:00:07.691973
SSB19180474,0:00:07.691927
SSB06310335,0:00:07.690930
SSB12530201,0:00:07.688980
SSB01490190,0:00:07.687029
SSB02410229,0:00:07.682902
SSB18280416,0:00:07.682857
SSB07860061,0:00:07.681043
SSB12180259,0:00:07.680907
SSB06320032,0:00:07.680907
SSB11610027,0:00:07.680907
SSB13400173,0:00:07.680181
SSB12190075,0:00:07.679955
SSB05350407,0:00:07.679955
SSB00050241,0:00:07.679955
SSB16500302,0:00:07.679955
SSB19560023,0:00:07.678005
SSB06090277,0:00:07.677732
SSB13650356,0:00:07.677007
SSB12190291,0:00:07.674830
SSB12180239,0:00:07.673968
SSB02410058,0:00:07.673061
SSB12030403,0:00:07.672154
SSB06310153,0:00:07.671882
SSB06660420,0:00:07.671156
SSB00050206,0:00:07.671156
SSB00050385,0:00:07.670930
SSB04150336,0:00:07.670930
SSB06310085,0:00:07.670884
SSB06310033,0:00:07.670884
SSB16500160,0:00:07.669932
SSB06010142,0:00:07.669932
SSB06090376,0:00:07.669070
SSB17110391,0:00:07.667982
SSB06320457,0:00:07.665034
SSB13400005,0:00:07.664082
SSB11610461,0:00:07.663946
SSB06310354,0:00:07.662132
SSB06310372,0:00:07.660907
SSB04820143,0:00:07.659048
SSB01490213,0:00:07.658957
SSB16500456,0:00:07.657959
SSB07860271,0:00:07.657052
SSB19390233,0:00:07.656961
SSB18630329,0:00:07.655057
SSB07200154,0:00:07.654059
SSB13660002,0:00:07.652834
SSB06310207,0:00:07.651973
SSB05350198,0:00:07.650023
SSB07860270,0:00:07.650023
SSB06060251,0:00:07.650023
SSB19390272,0:00:07.649887
SSB01490251,0:00:07.649887
SSB06090445,0:00:07.647029
SSB18280468,0:00:07.646984
SSB11610327,0:00:07.645986
SSB06290054,0:00:07.645034
SSB13650292,0:00:07.643084
SSB18060330,0:00:07.640045
SSB16070289,0:00:07.640045
SSB09660087,0:00:07.640000
SSB06290199,0:00:07.637959
SSB05440107,0:00:07.637052
SSB05350450,0:00:07.635283
SSB06090196,0:00:07.635011
SSB06090325,0:00:07.635011
SSB14480159,0:00:07.635011
SSB11260409,0:00:07.633016
SSB13400066,0:00:07.632018
SSB06310254,0:00:07.631973
SSB02730298,0:00:07.630975
SSB16990266,0:00:07.629887
SSB13400061,0:00:07.629025
SSB06090033,0:00:07.624036
SSB03540393,0:00:07.621859
SSB04150259,0:00:07.621088
SSB16990339,0:00:07.619138
SSB11610043,0:00:07.618912
SSB05990226,0:00:07.617007
SSB05990349,0:00:07.616961
SSB04340089,0:00:07.616145
SSB06290205,0:00:07.614014
SSB06320419,0:00:07.613061
SSB15670082,0:00:07.613061
SSB01490390,0:00:07.613061
SSB04350335,0:00:07.610113
SSB07940148,0:00:07.610113
SSB05900300,0:00:07.609977
SSB06010502,0:00:07.609977
SSB06090473,0:00:07.609887
SSB12180389,0:00:07.607075
SSB16500322,0:00:07.606032
SSB19560066,0:00:07.605986
SSB13410423,0:00:07.605941
SSB00110177,0:00:07.605941
SSB05020161,0:00:07.604989
SSB06090461,0:00:07.602041
SSB06090041,0:00:07.601995
SSB06660015,0:00:07.601678
SSB00570439,0:00:07.601088
SSB00570442,0:00:07.601088
SSB07000079,0:00:07.600998
SSB02410309,0:00:07.597914
SSB17820144,0:00:07.597596
SSB03950487,0:00:07.597052
SSB13660084,0:00:07.597052
